Indicador,Área geográfica,Año,Valor
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2017,105451.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2017,43022.8968505909
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2018,32.9858796488
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2018,91.7505284894
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2018,37.485106773
Delitos denunciados (Delitos) Anual,14 Jalisco,2018,257035.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2018,2025887.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2018,68706.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2018,40542.7479545458
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2019,34.7958255462
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2019,91.2442842424
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2019,31.5794061923
Delitos denunciados (Delitos) Anual,14 Jalisco,2019,274410.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2019,1750256.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2019,97136.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2019,34703.0769138476
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2020,35.6069878472
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2020,92.8875652988
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2020,31.5650501454
Delitos denunciados (Delitos) Anual,14 Jalisco,2020,221782.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2020,1735185.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2020,82594.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2020,33247.9213752401
Porcentaje de delitos con portación de armas en personas de 18 años y más (Porcentaje) Anual,14 Jalisco,2021,30.7307327813
Cifra Negra (delitos no denunciados y los delitos denunciados que no tuvieron inicio de averiguación previa) (Porcentaje) Anual,14 Jalisco,2021,92.9642435008
Porcentaje de hogares víctimas del delito (Porcentaje) Anual,14 Jalisco,2021,31.5902865909
Delitos denunciados (Delitos) Anual,14 Jalisco,2021,166650.0
Delitos no denunciados o en los que no se especifica si se denunció ante el Ministerio Público (Delitos) Anual,14 Jalisco,2021,1754707.0
Delitos denunciados ante el Ministerio Público a partir de los cuales no se inició averiguación previa o no se especifica si se inició averiguación previa (Delitos) Anual,14 Jalisco,2021,31468.0
Tasa de incidencia delictiva por cada cien mil habitantes (Casos por cada 100 mil habitantes) Anual,14 Jalisco,2021,31944.188360211
