Año,chi2,p_value,gl,hay_relacion_estadistica_5pct
2015,4587.545054799746,0.0,32,True
2016,3789.4507004596803,0.0,32,True
2017,8637.795399576496,0.0,28,True
2018,8604.267056585317,0.0,33,True
2019,10123.331402943719,0.0,29,True
2020,10074.498489895514,0.0,32,True
2021,10960.278001828574,0.0,32,True
2022,9314.875579530231,0.0,32,True
2023,8151.651542086844,0.0,31,True
2024,7559.6048047193235,0.0,35,True
2025,6395.783761153308,0.0,33,True
