Año,Municipio,categoria_delito,Total_Anual
2023,Autlán de Navarro,EXTORSION,6
2024,Autlán de Navarro,EXTORSION,4
2025,Autlán de Navarro,EXTORSION,3
2015,Ayotlán,EXTORSION,1
2016,Ayotlán,EXTORSION,0
2017,Ayotlán,EXTORSION,1
2018,Ayotlán,EXTORSION,1
2019,Ayotlán,EXTORSION,1
2020,Ayotlán,EXTORSION,0
2021,Ayotlán,EXTORSION,2
2022,Ayotlán,EXTORSION,2
2023,Ayotlán,EXTORSION,0
2024,Ayotlán,EXTORSION,0
2025,Ayotlán,EXTORSION,0
2015,Ayutla,EXTORSION,0
2016,Ayutla,EXTORSION,0
2017,Ayutla,EXTORSION,0
2018,Ayutla,EXTORSION,1
2019,Ayutla,EXTORSION,0
2020,Ayutla,EXTORSION,0
2021,Ayutla,EXTORSION,0
2022,Ayutla,EXTORSION,0
2023,Ayutla,EXTORSION,0
2024,Ayutla,EXTORSION,0
2025,Ayutla,EXTORSION,0
2015,Bolaños,EXTORSION,0
2016,Bolaños,EXTORSION,0
2017,Bolaños,EXTORSION,0
2018,Bolaños,EXTORSION,2
2019,Bolaños,EXTORSION,0
2020,Bolaños,EXTORSION,0
2021,Bolaños,EXTORSION,1
2022,Bolaños,EXTORSION,0
2023,Bolaños,EXTORSION,0
2024,Bolaños,EXTORSION,0
2025,Bolaños,EXTORSION,0
2015,Cabo Corrientes,EXTORSION,1
2016,Cabo Corrientes,EXTORSION,0
2017,Cabo Corrientes,EXTORSION,0
2018,Cabo Corrientes,EXTORSION,1
2019,Cabo Corrientes,EXTORSION,0
2020,Cabo Corrientes,EXTORSION,2
2021,Cabo Corrientes,EXTORSION,1
2022,Cabo Corrientes,EXTORSION,0
2023,Cabo Corrientes,EXTORSION,0
2024,Cabo Corrientes,EXTORSION,0
2025,Cabo Corrientes,EXTORSION,0
2015,Casimiro Castillo,EXTORSION,1
2016,Casimiro Castillo,EXTORSION,0
2017,Casimiro Castillo,EXTORSION,1
2018,Casimiro Castillo,EXTORSION,1
2019,Casimiro Castillo,EXTORSION,1
2020,Casimiro Castillo,EXTORSION,1
2021,Casimiro Castillo,EXTORSION,2
2022,Casimiro Castillo,EXTORSION,2
2023,Casimiro Castillo,EXTORSION,0
2024,Casimiro Castillo,EXTORSION,1
2025,Casimiro Castillo,EXTORSION,0
2015,Cañadas de Obregón,EXTORSION,0
2016,Cañadas de Obregón,EXTORSION,0
2017,Cañadas de Obregón,EXTORSION,1
2018,Cañadas de Obregón,EXTORSION,1
2019,Cañadas de Obregón,EXTORSION,1
2020,Cañadas de Obregón,EXTORSION,1
2021,Cañadas de Obregón,EXTORSION,2
2022,Cañadas de Obregón,EXTORSION,0
2023,Cañadas de Obregón,EXTORSION,1
2024,Cañadas de Obregón,EXTORSION,0
2025,Cañadas de Obregón,EXTORSION,0
2015,Chapala,EXTORSION,6
2016,Chapala,EXTORSION,4
2017,Chapala,EXTORSION,9
2018,Chapala,EXTORSION,14
2019,Chapala,EXTORSION,15
2020,Chapala,EXTORSION,12
2021,Chapala,EXTORSION,5
2022,Chapala,EXTORSION,9
2023,Chapala,EXTORSION,7
2024,Chapala,EXTORSION,9
2025,Chapala,EXTORSION,3
2015,Chimaltitán,EXTORSION,0
2016,Chimaltitán,EXTORSION,0
2017,Chimaltitán,EXTORSION,0
2018,Chimaltitán,EXTORSION,0
2019,Chimaltitán,EXTORSION,0
2020,Chimaltitán,EXTORSION,0
2021,Chimaltitán,EXTORSION,0
2022,Chimaltitán,EXTORSION,0
2023,Chimaltitán,EXTORSION,0
2024,Chimaltitán,EXTORSION,0
2025,Chimaltitán,EXTORSION,1
2015,Chiquilistlán,EXTORSION,0
2016,Chiquilistlán,EXTORSION,0
2017,Chiquilistlán,EXTORSION,0
2018,Chiquilistlán,EXTORSION,0
2019,Chiquilistlán,EXTORSION,0
2020,Chiquilistlán,EXTORSION,0
2021,Chiquilistlán,EXTORSION,0
2022,Chiquilistlán,EXTORSION,0
2023,Chiquilistlán,EXTORSION,0
2024,Chiquilistlán,EXTORSION,0
2025,Chiquilistlán,EXTORSION,0
2015,Cihuatlán,EXTORSION,2
2016,Cihuatlán,EXTORSION,3
2017,Cihuatlán,EXTORSION,1
2018,Cihuatlán,EXTORSION,5
2019,Cihuatlán,EXTORSION,4
2020,Cihuatlán,EXTORSION,10
2021,Cihuatlán,EXTORSION,1
2022,Cihuatlán,EXTORSION,4
2023,Cihuatlán,EXTORSION,5
2024,Cihuatlán,EXTORSION,0
2025,Cihuatlán,EXTORSION,1
2015,Cocula,EXTORSION,5
2016,Cocula,EXTORSION,3
2017,Cocula,EXTORSION,1
2018,Cocula,EXTORSION,4
2019,Cocula,EXTORSION,4
2020,Cocula,EXTORSION,5
2021,Cocula,EXTORSION,5
2022,Cocula,EXTORSION,1
2023,Cocula,EXTORSION,2
2024,Cocula,EXTORSION,2
2025,Cocula,EXTORSION,1
2015,Colotlán,EXTORSION,5
2016,Colotlán,EXTORSION,3
2017,Colotlán,EXTORSION,2
2018,Colotlán,EXTORSION,4
2019,Colotlán,EXTORSION,3
2020,Colotlán,EXTORSION,3
2021,Colotlán,EXTORSION,3
2022,Colotlán,EXTORSION,2
2023,Colotlán,EXTORSION,5
2024,Colotlán,EXTORSION,2
2025,Colotlán,EXTORSION,5
2015,Concepción de Buenos Aires,EXTORSION,0
2016,Concepción de Buenos Aires,EXTORSION,0
2017,Concepción de Buenos Aires,EXTORSION,1
2018,Concepción de Buenos Aires,EXTORSION,1
2019,Concepción de Buenos Aires,EXTORSION,0
2020,Concepción de Buenos Aires,EXTORSION,0
2021,Concepción de Buenos Aires,EXTORSION,0
2022,Concepción de Buenos Aires,EXTORSION,0
2023,Concepción de Buenos Aires,EXTORSION,1
2024,Concepción de Buenos Aires,EXTORSION,0
2025,Concepción de Buenos Aires,EXTORSION,0
2015,Cuautitlán de García Barragán,EXTORSION,0
2016,Cuautitlán de García Barragán,EXTORSION,0
2017,Cuautitlán de García Barragán,EXTORSION,0
2018,Cuautitlán de García Barragán,EXTORSION,1
2019,Cuautitlán de García Barragán,EXTORSION,1
2020,Cuautitlán de García Barragán,EXTORSION,0
2021,Cuautitlán de García Barragán,EXTORSION,0
2022,Cuautitlán de García Barragán,EXTORSION,0
2023,Cuautitlán de García Barragán,EXTORSION,0
2024,Cuautitlán de García Barragán,EXTORSION,0
2025,Cuautitlán de García Barragán,EXTORSION,0
2015,Cuautla,EXTORSION,0
2016,Cuautla,EXTORSION,1
2017,Cuautla,EXTORSION,0
2018,Cuautla,EXTORSION,0
2019,Cuautla,EXTORSION,0
2020,Cuautla,EXTORSION,0
2021,Cuautla,EXTORSION,0
2022,Cuautla,EXTORSION,0
2023,Cuautla,EXTORSION,0
2024,Cuautla,EXTORSION,0
2025,Cuautla,EXTORSION,0
2015,Cuquío,EXTORSION,1
2016,Cuquío,EXTORSION,0
2017,Cuquío,EXTORSION,6
2018,Cuquío,EXTORSION,0
2019,Cuquío,EXTORSION,1
2020,Cuquío,EXTORSION,1
2021,Cuquío,EXTORSION,0
2022,Cuquío,EXTORSION,0
2023,Cuquío,EXTORSION,0
2024,Cuquío,EXTORSION,0
2025,Cuquío,EXTORSION,0
2015,Degollado,EXTORSION,0
2016,Degollado,EXTORSION,0
2017,Degollado,EXTORSION,1
2018,Degollado,EXTORSION,3
2019,Degollado,EXTORSION,0
2020,Degollado,EXTORSION,2
2021,Degollado,EXTORSION,0
2022,Degollado,EXTORSION,1
2023,Degollado,EXTORSION,1
2024,Degollado,EXTORSION,0
2025,Degollado,EXTORSION,1
2015,Ejutla,EXTORSION,1
2016,Ejutla,EXTORSION,0
2017,Ejutla,EXTORSION,0
2018,Ejutla,EXTORSION,0
2019,Ejutla,EXTORSION,0
2020,Ejutla,EXTORSION,0
2021,Ejutla,EXTORSION,0
2022,Ejutla,EXTORSION,0
2023,Ejutla,EXTORSION,1
2024,Ejutla,EXTORSION,0
2025,Ejutla,EXTORSION,0
2015,El Arenal,EXTORSION,1
2016,El Arenal,EXTORSION,6
2017,El Arenal,EXTORSION,0
2018,El Arenal,EXTORSION,3
2019,El Arenal,EXTORSION,0
2020,El Arenal,EXTORSION,3
2021,El Arenal,EXTORSION,1
2022,El Arenal,EXTORSION,4
2023,El Arenal,EXTORSION,4
2024,El Arenal,EXTORSION,3
2025,El Arenal,EXTORSION,2
2015,El Grullo,EXTORSION,1
2016,El Grullo,EXTORSION,2
2017,El Grullo,EXTORSION,2
2018,El Grullo,EXTORSION,1
2019,El Grullo,EXTORSION,0
2020,El Grullo,EXTORSION,3
2021,El Grullo,EXTORSION,0
2022,El Grullo,EXTORSION,2
2023,El Grullo,EXTORSION,0
2024,El Grullo,EXTORSION,2
2025,El Grullo,EXTORSION,0
2015,El Limón,EXTORSION,0
2016,El Limón,EXTORSION,1
2017,El Limón,EXTORSION,0
2018,El Limón,EXTORSION,1
2019,El Limón,EXTORSION,0
2020,El Limón,EXTORSION,0
2021,El Limón,EXTORSION,0
2022,El Limón,EXTORSION,0
2023,El Limón,EXTORSION,0
2024,El Limón,EXTORSION,0
2025,El Limón,EXTORSION,0
2015,El Salto,EXTORSION,10
2016,El Salto,EXTORSION,9
2017,El Salto,EXTORSION,7
2018,El Salto,EXTORSION,15
2019,El Salto,EXTORSION,16
2020,El Salto,EXTORSION,11
2021,El Salto,EXTORSION,13
2022,El Salto,EXTORSION,23
2023,El Salto,EXTORSION,8
2024,El Salto,EXTORSION,17
2025,El Salto,EXTORSION,22
