Año,Municipio,categoria_delito,Total_Anual
2017,Tonila,FEMINICIDIO,0
2018,Tonila,FEMINICIDIO,0
2019,Tonila,FEMINICIDIO,0
2020,Tonila,FEMINICIDIO,0
2021,Tonila,FEMINICIDIO,0
2022,Tonila,FEMINICIDIO,0
2023,Tonila,FEMINICIDIO,0
2024,Tonila,FEMINICIDIO,0
2025,Tonila,FEMINICIDIO,0
2015,Totatiche,FEMINICIDIO,1
2016,Totatiche,FEMINICIDIO,0
2017,Totatiche,FEMINICIDIO,0
2018,Totatiche,FEMINICIDIO,0
2019,Totatiche,FEMINICIDIO,0
2020,Totatiche,FEMINICIDIO,0
2021,Totatiche,FEMINICIDIO,0
2022,Totatiche,FEMINICIDIO,0
2023,Totatiche,FEMINICIDIO,0
2024,Totatiche,FEMINICIDIO,0
2025,Totatiche,FEMINICIDIO,0
2015,Tototlán,FEMINICIDIO,0
2016,Tototlán,FEMINICIDIO,0
2017,Tototlán,FEMINICIDIO,0
2018,Tototlán,FEMINICIDIO,0
2019,Tototlán,FEMINICIDIO,0
2020,Tototlán,FEMINICIDIO,0
2021,Tototlán,FEMINICIDIO,0
2022,Tototlán,FEMINICIDIO,0
2023,Tototlán,FEMINICIDIO,1
2024,Tototlán,FEMINICIDIO,0
2025,Tototlán,FEMINICIDIO,0
2015,Tuxcacuesco,FEMINICIDIO,0
2016,Tuxcacuesco,FEMINICIDIO,0
2017,Tuxcacuesco,FEMINICIDIO,0
2018,Tuxcacuesco,FEMINICIDIO,0
2019,Tuxcacuesco,FEMINICIDIO,0
2020,Tuxcacuesco,FEMINICIDIO,0
2021,Tuxcacuesco,FEMINICIDIO,0
2022,Tuxcacuesco,FEMINICIDIO,0
2023,Tuxcacuesco,FEMINICIDIO,0
2024,Tuxcacuesco,FEMINICIDIO,0
2025,Tuxcacuesco,FEMINICIDIO,0
2015,Tuxcueca,FEMINICIDIO,0
2016,Tuxcueca,FEMINICIDIO,0
2017,Tuxcueca,FEMINICIDIO,0
2018,Tuxcueca,FEMINICIDIO,0
2019,Tuxcueca,FEMINICIDIO,0
2020,Tuxcueca,FEMINICIDIO,0
2021,Tuxcueca,FEMINICIDIO,0
2022,Tuxcueca,FEMINICIDIO,0
2023,Tuxcueca,FEMINICIDIO,0
2024,Tuxcueca,FEMINICIDIO,0
2025,Tuxcueca,FEMINICIDIO,0
2015,Tuxpan,FEMINICIDIO,1
2016,Tuxpan,FEMINICIDIO,0
2017,Tuxpan,FEMINICIDIO,0
2018,Tuxpan,FEMINICIDIO,0
2019,Tuxpan,FEMINICIDIO,0
2020,Tuxpan,FEMINICIDIO,0
2021,Tuxpan,FEMINICIDIO,0
2022,Tuxpan,FEMINICIDIO,0
2023,Tuxpan,FEMINICIDIO,0
2024,Tuxpan,FEMINICIDIO,0
2025,Tuxpan,FEMINICIDIO,0
2015,Unión de San Antonio,FEMINICIDIO,0
2016,Unión de San Antonio,FEMINICIDIO,0
2017,Unión de San Antonio,FEMINICIDIO,0
2018,Unión de San Antonio,FEMINICIDIO,1
2019,Unión de San Antonio,FEMINICIDIO,0
2020,Unión de San Antonio,FEMINICIDIO,0
2021,Unión de San Antonio,FEMINICIDIO,0
2022,Unión de San Antonio,FEMINICIDIO,0
2023,Unión de San Antonio,FEMINICIDIO,0
2024,Unión de San Antonio,FEMINICIDIO,0
2025,Unión de San Antonio,FEMINICIDIO,0
2015,Unión de Tula,FEMINICIDIO,0
2016,Unión de Tula,FEMINICIDIO,0
2017,Unión de Tula,FEMINICIDIO,0
2018,Unión de Tula,FEMINICIDIO,0
2019,Unión de Tula,FEMINICIDIO,0
2020,Unión de Tula,FEMINICIDIO,0
2021,Unión de Tula,FEMINICIDIO,0
2022,Unión de Tula,FEMINICIDIO,0
2023,Unión de Tula,FEMINICIDIO,0
2024,Unión de Tula,FEMINICIDIO,0
2025,Unión de Tula,FEMINICIDIO,0
2015,Valle de Guadalupe,FEMINICIDIO,0
2016,Valle de Guadalupe,FEMINICIDIO,0
2017,Valle de Guadalupe,FEMINICIDIO,0
2018,Valle de Guadalupe,FEMINICIDIO,0
2019,Valle de Guadalupe,FEMINICIDIO,0
2020,Valle de Guadalupe,FEMINICIDIO,0
2021,Valle de Guadalupe,FEMINICIDIO,0
2022,Valle de Guadalupe,FEMINICIDIO,0
2023,Valle de Guadalupe,FEMINICIDIO,0
2024,Valle de Guadalupe,FEMINICIDIO,0
2025,Valle de Guadalupe,FEMINICIDIO,1
2015,Valle de Juárez,FEMINICIDIO,0
2016,Valle de Juárez,FEMINICIDIO,0
2017,Valle de Juárez,FEMINICIDIO,0
2018,Valle de Juárez,FEMINICIDIO,0
2019,Valle de Juárez,FEMINICIDIO,0
2020,Valle de Juárez,FEMINICIDIO,0
2021,Valle de Juárez,FEMINICIDIO,1
2022,Valle de Juárez,FEMINICIDIO,0
2023,Valle de Juárez,FEMINICIDIO,0
2024,Valle de Juárez,FEMINICIDIO,0
2025,Valle de Juárez,FEMINICIDIO,0
2015,Villa Corona,FEMINICIDIO,1
2016,Villa Corona,FEMINICIDIO,0
2017,Villa Corona,FEMINICIDIO,0
2018,Villa Corona,FEMINICIDIO,0
2019,Villa Corona,FEMINICIDIO,0
2020,Villa Corona,FEMINICIDIO,0
2021,Villa Corona,FEMINICIDIO,0
2022,Villa Corona,FEMINICIDIO,0
2023,Villa Corona,FEMINICIDIO,0
2024,Villa Corona,FEMINICIDIO,0
2025,Villa Corona,FEMINICIDIO,0
2015,Villa Guerrero,FEMINICIDIO,0
2016,Villa Guerrero,FEMINICIDIO,0
2017,Villa Guerrero,FEMINICIDIO,0
2018,Villa Guerrero,FEMINICIDIO,0
2019,Villa Guerrero,FEMINICIDIO,0
2020,Villa Guerrero,FEMINICIDIO,0
2021,Villa Guerrero,FEMINICIDIO,0
2022,Villa Guerrero,FEMINICIDIO,0
2023,Villa Guerrero,FEMINICIDIO,0
2024,Villa Guerrero,FEMINICIDIO,0
2025,Villa Guerrero,FEMINICIDIO,0
2015,Villa Hidalgo,FEMINICIDIO,0
2016,Villa Hidalgo,FEMINICIDIO,0
2017,Villa Hidalgo,FEMINICIDIO,0
2018,Villa Hidalgo,FEMINICIDIO,0
2019,Villa Hidalgo,FEMINICIDIO,0
2020,Villa Hidalgo,FEMINICIDIO,0
2021,Villa Hidalgo,FEMINICIDIO,0
2022,Villa Hidalgo,FEMINICIDIO,0
2023,Villa Hidalgo,FEMINICIDIO,0
2024,Villa Hidalgo,FEMINICIDIO,0
2025,Villa Hidalgo,FEMINICIDIO,0
2015,Villa Purificación,FEMINICIDIO,0
2016,Villa Purificación,FEMINICIDIO,1
2017,Villa Purificación,FEMINICIDIO,0
2018,Villa Purificación,FEMINICIDIO,1
2019,Villa Purificación,FEMINICIDIO,0
2020,Villa Purificación,FEMINICIDIO,0
2021,Villa Purificación,FEMINICIDIO,0
2022,Villa Purificación,FEMINICIDIO,0
2023,Villa Purificación,FEMINICIDIO,0
2024,Villa Purificación,FEMINICIDIO,0
2025,Villa Purificación,FEMINICIDIO,0
2015,Yahualica de González Gallo,FEMINICIDIO,0
2016,Yahualica de González Gallo,FEMINICIDIO,0
2017,Yahualica de González Gallo,FEMINICIDIO,0
2018,Yahualica de González Gallo,FEMINICIDIO,0
2019,Yahualica de González Gallo,FEMINICIDIO,0
2020,Yahualica de González Gallo,FEMINICIDIO,0
2021,Yahualica de González Gallo,FEMINICIDIO,1
2022,Yahualica de González Gallo,FEMINICIDIO,0
2023,Yahualica de González Gallo,FEMINICIDIO,0
2024,Yahualica de González Gallo,FEMINICIDIO,0
2025,Yahualica de González Gallo,FEMINICIDIO,0
2015,Zacoalco de Torres,FEMINICIDIO,0
2016,Zacoalco de Torres,FEMINICIDIO,0
2017,Zacoalco de Torres,FEMINICIDIO,0
2018,Zacoalco de Torres,FEMINICIDIO,0
2019,Zacoalco de Torres,FEMINICIDIO,0
2020,Zacoalco de Torres,FEMINICIDIO,0
2021,Zacoalco de Torres,FEMINICIDIO,0
2022,Zacoalco de Torres,FEMINICIDIO,0
2023,Zacoalco de Torres,FEMINICIDIO,0
2024,Zacoalco de Torres,FEMINICIDIO,0
2025,Zacoalco de Torres,FEMINICIDIO,0
2015,Zapopan,FEMINICIDIO,6
2016,Zapopan,FEMINICIDIO,1
2017,Zapopan,FEMINICIDIO,1
2018,Zapopan,FEMINICIDIO,4
2019,Zapopan,FEMINICIDIO,8
2020,Zapopan,FEMINICIDIO,12
2021,Zapopan,FEMINICIDIO,9
2022,Zapopan,FEMINICIDIO,8
2023,Zapopan,FEMINICIDIO,7
2024,Zapopan,FEMINICIDIO,4
2025,Zapopan,FEMINICIDIO,2
2015,Zapotiltic,FEMINICIDIO,0
2016,Zapotiltic,FEMINICIDIO,0
2017,Zapotiltic,FEMINICIDIO,0
2018,Zapotiltic,FEMINICIDIO,0
2019,Zapotiltic,FEMINICIDIO,0
2020,Zapotiltic,FEMINICIDIO,1
2021,Zapotiltic,FEMINICIDIO,0
2022,Zapotiltic,FEMINICIDIO,0
2023,Zapotiltic,FEMINICIDIO,0
2024,Zapotiltic,FEMINICIDIO,1
2025,Zapotiltic,FEMINICIDIO,0
2015,Zapotitlán de Vadillo,FEMINICIDIO,0
2016,Zapotitlán de Vadillo,FEMINICIDIO,0
2017,Zapotitlán de Vadillo,FEMINICIDIO,0
2018,Zapotitlán de Vadillo,FEMINICIDIO,0
2019,Zapotitlán de Vadillo,FEMINICIDIO,0
2020,Zapotitlán de Vadillo,FEMINICIDIO,0
2021,Zapotitlán de Vadillo,FEMINICIDIO,0
2022,Zapotitlán de Vadillo,FEMINICIDIO,1
2023,Zapotitlán de Vadillo,FEMINICIDIO,0
2024,Zapotitlán de Vadillo,FEMINICIDIO,0
2025,Zapotitlán de Vadillo,FEMINICIDIO,0
2015,Zapotlanejo,FEMINICIDIO,1
2016,Zapotlanejo,FEMINICIDIO,0
2017,Zapotlanejo,FEMINICIDIO,0
2018,Zapotlanejo,FEMINICIDIO,0
2019,Zapotlanejo,FEMINICIDIO,3
2020,Zapotlanejo,FEMINICIDIO,1
2021,Zapotlanejo,FEMINICIDIO,1
2022,Zapotlanejo,FEMINICIDIO,0
2023,Zapotlanejo,FEMINICIDIO,0
2024,Zapotlanejo,FEMINICIDIO,0
2025,Zapotlanejo,FEMINICIDIO,0
2015,Zapotlán del Rey,FEMINICIDIO,0
2016,Zapotlán del Rey,FEMINICIDIO,1
2017,Zapotlán del Rey,FEMINICIDIO,0
2018,Zapotlán del Rey,FEMINICIDIO,0
2019,Zapotlán del Rey,FEMINICIDIO,0
2020,Zapotlán del Rey,FEMINICIDIO,0
2021,Zapotlán del Rey,FEMINICIDIO,0
2022,Zapotlán del Rey,FEMINICIDIO,0
2023,Zapotlán del Rey,FEMINICIDIO,0
2024,Zapotlán del Rey,FEMINICIDIO,0
2025,Zapotlán del Rey,FEMINICIDIO,0
2015,Zapotlán el Grande,FEMINICIDIO,1
2016,Zapotlán el Grande,FEMINICIDIO,0
2017,Zapotlán el Grande,FEMINICIDIO,0
2018,Zapotlán el Grande,FEMINICIDIO,0
2019,Zapotlán el Grande,FEMINICIDIO,0
2020,Zapotlán el Grande,FEMINICIDIO,0
2021,Zapotlán el Grande,FEMINICIDIO,0
2022,Zapotlán el Grande,FEMINICIDIO,0
2023,Zapotlán el Grande,FEMINICIDIO,0
2024,Zapotlán el Grande,FEMINICIDIO,0
2025,Zapotlán el Grande,FEMINICIDIO,0
2015,Acatic,HOMICIDIO,8
2016,Acatic,HOMICIDIO,7
2017,Acatic,HOMICIDIO,5
2018,Acatic,HOMICIDIO,7
2019,Acatic,HOMICIDIO,6
2020,Acatic,HOMICIDIO,5
2021,Acatic,HOMICIDIO,9
2022,Acatic,HOMICIDIO,11
2023,Acatic,HOMICIDIO,9
2024,Acatic,HOMICIDIO,6
2025,Acatic,HOMICIDIO,8
2015,Acatlán de Juárez,HOMICIDIO,8
2016,Acatlán de Juárez,HOMICIDIO,17
2017,Acatlán de Juárez,HOMICIDIO,9
2018,Acatlán de Juárez,HOMICIDIO,18
2019,Acatlán de Juárez,HOMICIDIO,19
2020,Acatlán de Juárez,HOMICIDIO,18
2021,Acatlán de Juárez,HOMICIDIO,11
2022,Acatlán de Juárez,HOMICIDIO,14
2023,Acatlán de Juárez,HOMICIDIO,12
2024,Acatlán de Juárez,HOMICIDIO,9
2025,Acatlán de Juárez,HOMICIDIO,7
2015,Ahualulco de Mercado,HOMICIDIO,7
2016,Ahualulco de Mercado,HOMICIDIO,3
2017,Ahualulco de Mercado,HOMICIDIO,3
2018,Ahualulco de Mercado,HOMICIDIO,3
2019,Ahualulco de Mercado,HOMICIDIO,2
2020,Ahualulco de Mercado,HOMICIDIO,7
2021,Ahualulco de Mercado,HOMICIDIO,3
2022,Ahualulco de Mercado,HOMICIDIO,7
2023,Ahualulco de Mercado,HOMICIDIO,10
2024,Ahualulco de Mercado,HOMICIDIO,3
2025,Ahualulco de Mercado,HOMICIDIO,4
2015,Amacueca,HOMICIDIO,3
2016,Amacueca,HOMICIDIO,2
2017,Amacueca,HOMICIDIO,5
2018,Amacueca,HOMICIDIO,5
2019,Amacueca,HOMICIDIO,3
2020,Amacueca,HOMICIDIO,3
2021,Amacueca,HOMICIDIO,4
2022,Amacueca,HOMICIDIO,2
2023,Amacueca,HOMICIDIO,1
2024,Amacueca,HOMICIDIO,2
2025,Amacueca,HOMICIDIO,1
2015,Amatitán,HOMICIDIO,3
2016,Amatitán,HOMICIDIO,6
2017,Amatitán,HOMICIDIO,9
2018,Amatitán,HOMICIDIO,5
2019,Amatitán,HOMICIDIO,4
2020,Amatitán,HOMICIDIO,2
2021,Amatitán,HOMICIDIO,6
2022,Amatitán,HOMICIDIO,12
2023,Amatitán,HOMICIDIO,7
2024,Amatitán,HOMICIDIO,6
2025,Amatitán,HOMICIDIO,7
2015,Ameca,HOMICIDIO,13
2016,Ameca,HOMICIDIO,14
2017,Ameca,HOMICIDIO,13
2018,Ameca,HOMICIDIO,11
2019,Ameca,HOMICIDIO,18
2020,Ameca,HOMICIDIO,18
2021,Ameca,HOMICIDIO,11
2022,Ameca,HOMICIDIO,20
2023,Ameca,HOMICIDIO,19
2024,Ameca,HOMICIDIO,15
2025,Ameca,HOMICIDIO,12
2015,Arandas,HOMICIDIO,20
2016,Arandas,HOMICIDIO,13
2017,Arandas,HOMICIDIO,15
2018,Arandas,HOMICIDIO,10
2019,Arandas,HOMICIDIO,14
2020,Arandas,HOMICIDIO,16
2021,Arandas,HOMICIDIO,20
2022,Arandas,HOMICIDIO,23
2023,Arandas,HOMICIDIO,17
2024,Arandas,HOMICIDIO,22
2025,Arandas,HOMICIDIO,14
2015,Atemajac de Brizuela,HOMICIDIO,2
2016,Atemajac de Brizuela,HOMICIDIO,1
2017,Atemajac de Brizuela,HOMICIDIO,1
2018,Atemajac de Brizuela,HOMICIDIO,2
2019,Atemajac de Brizuela,HOMICIDIO,1
2020,Atemajac de Brizuela,HOMICIDIO,1
2021,Atemajac de Brizuela,HOMICIDIO,1
2022,Atemajac de Brizuela,HOMICIDIO,1
2023,Atemajac de Brizuela,HOMICIDIO,1
2024,Atemajac de Brizuela,HOMICIDIO,1
2025,Atemajac de Brizuela,HOMICIDIO,1
2015,Atengo,HOMICIDIO,1
2016,Atengo,HOMICIDIO,3
2017,Atengo,HOMICIDIO,1
2018,Atengo,HOMICIDIO,1
2019,Atengo,HOMICIDIO,0
2020,Atengo,HOMICIDIO,0
2021,Atengo,HOMICIDIO,0
2022,Atengo,HOMICIDIO,0
2023,Atengo,HOMICIDIO,1
2024,Atengo,HOMICIDIO,0
2025,Atengo,HOMICIDIO,1
2015,Atenguillo,HOMICIDIO,1
2016,Atenguillo,HOMICIDIO,1
2017,Atenguillo,HOMICIDIO,0
2018,Atenguillo,HOMICIDIO,1
2019,Atenguillo,HOMICIDIO,1
2020,Atenguillo,HOMICIDIO,1
2021,Atenguillo,HOMICIDIO,1
2022,Atenguillo,HOMICIDIO,3
2023,Atenguillo,HOMICIDIO,6
2024,Atenguillo,HOMICIDIO,1
2025,Atenguillo,HOMICIDIO,3
2015,Atotonilco el Alto,HOMICIDIO,21
2016,Atotonilco el Alto,HOMICIDIO,25
2017,Atotonilco el Alto,HOMICIDIO,17
2018,Atotonilco el Alto,HOMICIDIO,15
2019,Atotonilco el Alto,HOMICIDIO,16
2020,Atotonilco el Alto,HOMICIDIO,10
2021,Atotonilco el Alto,HOMICIDIO,14
2022,Atotonilco el Alto,HOMICIDIO,18
2023,Atotonilco el Alto,HOMICIDIO,22
2024,Atotonilco el Alto,HOMICIDIO,19
2025,Atotonilco el Alto,HOMICIDIO,19
2015,Atoyac,HOMICIDIO,2
2016,Atoyac,HOMICIDIO,4
2017,Atoyac,HOMICIDIO,6
2018,Atoyac,HOMICIDIO,4
2019,Atoyac,HOMICIDIO,2
2020,Atoyac,HOMICIDIO,1
2021,Atoyac,HOMICIDIO,1
2022,Atoyac,HOMICIDIO,1
2023,Atoyac,HOMICIDIO,3
2024,Atoyac,HOMICIDIO,0
2025,Atoyac,HOMICIDIO,2
2015,Autlán de Navarro,HOMICIDIO,13
2016,Autlán de Navarro,HOMICIDIO,13
2017,Autlán de Navarro,HOMICIDIO,8
2018,Autlán de Navarro,HOMICIDIO,13
2019,Autlán de Navarro,HOMICIDIO,7
2020,Autlán de Navarro,HOMICIDIO,10
2021,Autlán de Navarro,HOMICIDIO,15
2022,Autlán de Navarro,HOMICIDIO,9
2023,Autlán de Navarro,HOMICIDIO,18
2024,Autlán de Navarro,HOMICIDIO,13
2025,Autlán de Navarro,HOMICIDIO,6
2015,Ayotlán,HOMICIDIO,4
2016,Ayotlán,HOMICIDIO,10
2017,Ayotlán,HOMICIDIO,7
2018,Ayotlán,HOMICIDIO,9
2019,Ayotlán,HOMICIDIO,4
2020,Ayotlán,HOMICIDIO,7
2021,Ayotlán,HOMICIDIO,4
2022,Ayotlán,HOMICIDIO,6
2023,Ayotlán,HOMICIDIO,11
2024,Ayotlán,HOMICIDIO,5
2025,Ayotlán,HOMICIDIO,8
2015,Ayutla,HOMICIDIO,5
2016,Ayutla,HOMICIDIO,2
2017,Ayutla,HOMICIDIO,0
2018,Ayutla,HOMICIDIO,1
2019,Ayutla,HOMICIDIO,4
2020,Ayutla,HOMICIDIO,3
2021,Ayutla,HOMICIDIO,5
2022,Ayutla,HOMICIDIO,4
2023,Ayutla,HOMICIDIO,3
2024,Ayutla,HOMICIDIO,4
2025,Ayutla,HOMICIDIO,0
2015,Bolaños,HOMICIDIO,2
2016,Bolaños,HOMICIDIO,3
2017,Bolaños,HOMICIDIO,1
2018,Bolaños,HOMICIDIO,2
2019,Bolaños,HOMICIDIO,4
2020,Bolaños,HOMICIDIO,2
2021,Bolaños,HOMICIDIO,0
2022,Bolaños,HOMICIDIO,0
2023,Bolaños,HOMICIDIO,2
2024,Bolaños,HOMICIDIO,0
2025,Bolaños,HOMICIDIO,1
2015,Cabo Corrientes,HOMICIDIO,4
2016,Cabo Corrientes,HOMICIDIO,9
2017,Cabo Corrientes,HOMICIDIO,6
2018,Cabo Corrientes,HOMICIDIO,7
2019,Cabo Corrientes,HOMICIDIO,5
2020,Cabo Corrientes,HOMICIDIO,6
2021,Cabo Corrientes,HOMICIDIO,6
2022,Cabo Corrientes,HOMICIDIO,2
2023,Cabo Corrientes,HOMICIDIO,5
2024,Cabo Corrientes,HOMICIDIO,5
2025,Cabo Corrientes,HOMICIDIO,4
2015,Casimiro Castillo,HOMICIDIO,5
2016,Casimiro Castillo,HOMICIDIO,9
2017,Casimiro Castillo,HOMICIDIO,4
2018,Casimiro Castillo,HOMICIDIO,11
2019,Casimiro Castillo,HOMICIDIO,3
2020,Casimiro Castillo,HOMICIDIO,3
2021,Casimiro Castillo,HOMICIDIO,6
2022,Casimiro Castillo,HOMICIDIO,4
2023,Casimiro Castillo,HOMICIDIO,4
2024,Casimiro Castillo,HOMICIDIO,7
2025,Casimiro Castillo,HOMICIDIO,5
2015,Cañadas de Obregón,HOMICIDIO,0
2016,Cañadas de Obregón,HOMICIDIO,3
2017,Cañadas de Obregón,HOMICIDIO,1
2018,Cañadas de Obregón,HOMICIDIO,0
2019,Cañadas de Obregón,HOMICIDIO,0
2020,Cañadas de Obregón,HOMICIDIO,0
2021,Cañadas de Obregón,HOMICIDIO,0
2022,Cañadas de Obregón,HOMICIDIO,3
2023,Cañadas de Obregón,HOMICIDIO,1
2024,Cañadas de Obregón,HOMICIDIO,2
2025,Cañadas de Obregón,HOMICIDIO,1
2015,Chapala,HOMICIDIO,10
2016,Chapala,HOMICIDIO,18
2017,Chapala,HOMICIDIO,15
2018,Chapala,HOMICIDIO,20
2019,Chapala,HOMICIDIO,28
2020,Chapala,HOMICIDIO,23
2021,Chapala,HOMICIDIO,19
2022,Chapala,HOMICIDIO,13
2023,Chapala,HOMICIDIO,11
2024,Chapala,HOMICIDIO,11
2025,Chapala,HOMICIDIO,6
2015,Chimaltitán,HOMICIDIO,0
2016,Chimaltitán,HOMICIDIO,0
2017,Chimaltitán,HOMICIDIO,1
2018,Chimaltitán,HOMICIDIO,2
2019,Chimaltitán,HOMICIDIO,0
2020,Chimaltitán,HOMICIDIO,0
2021,Chimaltitán,HOMICIDIO,0
2022,Chimaltitán,HOMICIDIO,1
2023,Chimaltitán,HOMICIDIO,0
2024,Chimaltitán,HOMICIDIO,0
2025,Chimaltitán,HOMICIDIO,0
2015,Chiquilistlán,HOMICIDIO,0
2016,Chiquilistlán,HOMICIDIO,3
2017,Chiquilistlán,HOMICIDIO,2
2018,Chiquilistlán,HOMICIDIO,2
2019,Chiquilistlán,HOMICIDIO,3
2020,Chiquilistlán,HOMICIDIO,2
2021,Chiquilistlán,HOMICIDIO,0
2022,Chiquilistlán,HOMICIDIO,0
2023,Chiquilistlán,HOMICIDIO,2
2024,Chiquilistlán,HOMICIDIO,0
2025,Chiquilistlán,HOMICIDIO,0
2015,Cihuatlán,HOMICIDIO,8
2016,Cihuatlán,HOMICIDIO,13
2017,Cihuatlán,HOMICIDIO,10
2018,Cihuatlán,HOMICIDIO,8
2019,Cihuatlán,HOMICIDIO,10
2020,Cihuatlán,HOMICIDIO,11
2021,Cihuatlán,HOMICIDIO,16
2022,Cihuatlán,HOMICIDIO,11
2023,Cihuatlán,HOMICIDIO,14
2024,Cihuatlán,HOMICIDIO,8
2025,Cihuatlán,HOMICIDIO,16
2015,Cocula,HOMICIDIO,6
2016,Cocula,HOMICIDIO,8
2017,Cocula,HOMICIDIO,7
2018,Cocula,HOMICIDIO,9
2019,Cocula,HOMICIDIO,19
2020,Cocula,HOMICIDIO,11
2021,Cocula,HOMICIDIO,6
2022,Cocula,HOMICIDIO,7
2023,Cocula,HOMICIDIO,14
2024,Cocula,HOMICIDIO,7
2025,Cocula,HOMICIDIO,10
2015,Colotlán,HOMICIDIO,2
2016,Colotlán,HOMICIDIO,9
2017,Colotlán,HOMICIDIO,1
2018,Colotlán,HOMICIDIO,5
2019,Colotlán,HOMICIDIO,3
2020,Colotlán,HOMICIDIO,0
2021,Colotlán,HOMICIDIO,1
2022,Colotlán,HOMICIDIO,5
2023,Colotlán,HOMICIDIO,2
2024,Colotlán,HOMICIDIO,3
2025,Colotlán,HOMICIDIO,2
2015,Concepción de Buenos Aires,HOMICIDIO,2
2016,Concepción de Buenos Aires,HOMICIDIO,1
2017,Concepción de Buenos Aires,HOMICIDIO,0
2018,Concepción de Buenos Aires,HOMICIDIO,1
2019,Concepción de Buenos Aires,HOMICIDIO,1
2020,Concepción de Buenos Aires,HOMICIDIO,0
2021,Concepción de Buenos Aires,HOMICIDIO,1
2022,Concepción de Buenos Aires,HOMICIDIO,2
2023,Concepción de Buenos Aires,HOMICIDIO,2
2024,Concepción de Buenos Aires,HOMICIDIO,0
2025,Concepción de Buenos Aires,HOMICIDIO,1
2015,Cuautitlán de García Barragán,HOMICIDIO,3
2016,Cuautitlán de García Barragán,HOMICIDIO,3
2017,Cuautitlán de García Barragán,HOMICIDIO,6
2018,Cuautitlán de García Barragán,HOMICIDIO,10
2019,Cuautitlán de García Barragán,HOMICIDIO,7
2020,Cuautitlán de García Barragán,HOMICIDIO,4
2021,Cuautitlán de García Barragán,HOMICIDIO,3
2022,Cuautitlán de García Barragán,HOMICIDIO,8
2023,Cuautitlán de García Barragán,HOMICIDIO,2
2024,Cuautitlán de García Barragán,HOMICIDIO,2
2025,Cuautitlán de García Barragán,HOMICIDIO,3
2015,Cuautla,HOMICIDIO,1
2016,Cuautla,HOMICIDIO,0
2017,Cuautla,HOMICIDIO,0
2018,Cuautla,HOMICIDIO,2
2019,Cuautla,HOMICIDIO,0
2020,Cuautla,HOMICIDIO,1
2021,Cuautla,HOMICIDIO,0
2022,Cuautla,HOMICIDIO,2
2023,Cuautla,HOMICIDIO,1
2024,Cuautla,HOMICIDIO,1
2025,Cuautla,HOMICIDIO,0
2015,Cuquío,HOMICIDIO,1
2016,Cuquío,HOMICIDIO,5
2017,Cuquío,HOMICIDIO,2
2018,Cuquío,HOMICIDIO,3
2019,Cuquío,HOMICIDIO,0
2020,Cuquío,HOMICIDIO,3
2021,Cuquío,HOMICIDIO,5
2022,Cuquío,HOMICIDIO,2
2023,Cuquío,HOMICIDIO,3
2024,Cuquío,HOMICIDIO,1
2025,Cuquío,HOMICIDIO,5
2015,Degollado,HOMICIDIO,14
2016,Degollado,HOMICIDIO,5
2017,Degollado,HOMICIDIO,9
2018,Degollado,HOMICIDIO,6
2019,Degollado,HOMICIDIO,5
2020,Degollado,HOMICIDIO,7
2021,Degollado,HOMICIDIO,2
2022,Degollado,HOMICIDIO,4
2023,Degollado,HOMICIDIO,3
2024,Degollado,HOMICIDIO,4
2025,Degollado,HOMICIDIO,3
2015,Ejutla,HOMICIDIO,1
2016,Ejutla,HOMICIDIO,0
2017,Ejutla,HOMICIDIO,1
2018,Ejutla,HOMICIDIO,0
2019,Ejutla,HOMICIDIO,1
2020,Ejutla,HOMICIDIO,0
2021,Ejutla,HOMICIDIO,1
2022,Ejutla,HOMICIDIO,0
2023,Ejutla,HOMICIDIO,1
2024,Ejutla,HOMICIDIO,1
2025,Ejutla,HOMICIDIO,0
2015,El Arenal,HOMICIDIO,13
2016,El Arenal,HOMICIDIO,5
2017,El Arenal,HOMICIDIO,8
2018,El Arenal,HOMICIDIO,8
2019,El Arenal,HOMICIDIO,7
2020,El Arenal,HOMICIDIO,17
2021,El Arenal,HOMICIDIO,17
2022,El Arenal,HOMICIDIO,15
2023,El Arenal,HOMICIDIO,13
2024,El Arenal,HOMICIDIO,4
2025,El Arenal,HOMICIDIO,11
2015,El Grullo,HOMICIDIO,9
2016,El Grullo,HOMICIDIO,5
2017,El Grullo,HOMICIDIO,1
2018,El Grullo,HOMICIDIO,1
2019,El Grullo,HOMICIDIO,3
2020,El Grullo,HOMICIDIO,1
2021,El Grullo,HOMICIDIO,4
2022,El Grullo,HOMICIDIO,7
2023,El Grullo,HOMICIDIO,2
2024,El Grullo,HOMICIDIO,4
2025,El Grullo,HOMICIDIO,2
2015,El Limón,HOMICIDIO,3
2016,El Limón,HOMICIDIO,6
2017,El Limón,HOMICIDIO,2
2018,El Limón,HOMICIDIO,3
2019,El Limón,HOMICIDIO,0
2020,El Limón,HOMICIDIO,0
2021,El Limón,HOMICIDIO,2
2022,El Limón,HOMICIDIO,1
2023,El Limón,HOMICIDIO,3
2024,El Limón,HOMICIDIO,0
2025,El Limón,HOMICIDIO,0
2015,El Salto,HOMICIDIO,37
2016,El Salto,HOMICIDIO,54
2017,El Salto,HOMICIDIO,61
2018,El Salto,HOMICIDIO,124
2019,El Salto,HOMICIDIO,103
2020,El Salto,HOMICIDIO,72
2021,El Salto,HOMICIDIO,96
