Municipio,mun_norm,Año,Total_Anual,cve_mun,nomgeo,pob_total,tasa_100k
Teocaltiche,TEOCALTICHE,2025,241,091,Teocaltiche,39839,604.9348628228621
Ojuelos de Jalisco,OJUELOS DE JALISCO,2025,202,064,Ojuelos de Jalisco,33588,601.405263784685
Jalostotitlán,JALOSTOTITLAN,2025,196,046,Jalostotitlán,32678,599.791908929555
Yahualica de González Gallo,YAHUALICA DE GONZALEZ GALLO,2025,132,118,Yahualica de González Gallo,22394,589.4436009645441
Valle de Juárez,VALLE DE JUAREZ,2025,35,112,Valle de Juárez,6151,569.0131685904731
San Gabriel,SAN GABRIEL,2025,93,113,San Gabriel,16548,562.0014503263235
Tomatlán,TOMATLAN,2025,203,100,Tomatlán,36316,558.9822667694681
Villa Hidalgo,VILLA HIDALGO,2025,112,116,Villa Hidalgo,20088,557.5467941059338
Amacueca,AMACUECA,2025,32,004,Amacueca,5743,557.2000696500087
Santa María del Oro,SANTA MARIA DEL ORO,2025,10,056,Santa María del Oro,1815,550.9641873278237
Hostotipaquillo,HOSTOTIPAQUILLO,2025,48,040,Hostotipaquillo,8732,549.7022446174989
Tapalpa,TAPALPA,2025,115,086,Tapalpa,21245,541.3038361967522
Villa Purificación,VILLA PURIFICACION,2025,61,068,Villa Purificación,11303,539.6797310448553
San Juan de los Lagos,SAN JUAN DE LOS LAGOS,2025,385,073,San Juan de los Lagos,72230,533.0195209746643
San Sebastián del Oeste,SAN SEBASTIAN DEL OESTE,2025,27,080,San Sebastián del Oeste,5086,530.8690523004325
Chimaltitán,CHIMALTITAN,2025,17,031,Chimaltitán,3270,519.8776758409786
Jesús María,JESUS MARIA,2025,97,048,Jesús María,18982,511.01043093456957
Villa Guerrero,VILLA GUERRERO,2025,28,115,Villa Guerrero,5525,506.78733031674204
San Miguel el Alto,SAN MIGUEL EL ALTO,2025,161,078,San Miguel el Alto,31965,503.67589551071484
Tuxpan,TUXPAN,2025,187,108,Tuxpan,37518,498.4274215043446
Techaluta de Montenegro,TECHALUTA DE MONTENEGRO,2025,20,089,Techaluta de Montenegro,4072,491.1591355599214
Degollado,DEGOLLADO,2025,104,033,Degollado,21226,489.96513709601436
Huejuquilla el Alto,HUEJUQUILLA EL ALTO,2025,49,042,Huejuquilla el Alto,10015,489.2661008487269
Cuquío,CUQUIO,2025,87,029,Cuquío,17820,488.21548821548816
La Manzanilla de la Paz,LA MANZANILLA DE LA PAZ,2025,20,057,La Manzanilla de la Paz,4099,487.92388387411563
Acatic,ACATIC,2025,112,001,Acatic,23175,483.27939590075516
San Cristóbal de la Barranca,SAN CRISTOBAL DE LA BARRANCA,2025,14,071,San Cristóbal de la Barranca,2924,478.79616963064296
Atoyac,ATOYAC,2025,39,014,Atoyac,8689,448.8433651743584
Ayotlán,AYOTLAN,2025,182,016,Ayotlán,41552,438.00539083557953
Cuautitlán de García Barragán,CUAUTITLAN DE GARCIA BARRAGAN,2025,80,027,Cuautitlán de García Barragán,18370,435.49265106151336
San Ignacio Cerro Gordo,SAN IGNACIO CERRO GORDO,2025,79,125,San Ignacio Cerro Gordo,18341,430.72896788615674
El Limón,EL LIMON,2025,23,054,El Limón,5368,428.4649776453055
Tonaya,TONAYA,2025,25,102,Tonaya,5961,419.3927193423922
Unión de San Antonio,UNION DE SAN ANTONIO,2025,74,109,Unión de San Antonio,19069,388.06439771356656
Mezquitic,MEZQUITIC,2025,85,061,Mezquitic,22083,384.9114703618168
Totatiche,TOTATICHE,2025,16,104,Totatiche,4180,382.7751196172249
Concepción de Buenos Aires,CONCEPCION DE BUENOS AIRES,2025,24,026,Concepción de Buenos Aires,6334,378.9074834227976
Tonila,TONILA,2025,27,103,Tonila,7565,356.906807666887
Cañadas de Obregón,CANADAS DE OBREGON,2025,15,117,Cañadas de Obregón,4388,341.841385597083
Bolaños,BOLANOS,2025,24,019,Bolaños,7043,340.76387902882294
Ayutla,AYUTLA,2025,43,017,Ayutla,12880,333.85093167701865
Cuautla,CUAUTLA,2025,7,028,Cuautla,2166,323.1763619575254
Teocuitatlán de Corona,TEOCUITATLAN DE CORONA,2025,34,092,Teocuitatlán de Corona,11039,307.9989129450131
San Julián,SAN JULIAN,2025,50,074,San Julián,16792,297.7608384945212
Tolimán,TOLIMAN,2025,33,099,Tolimán,11219,294.1438630894019
Tecalitlán,TECALITLAN,2025,47,087,Tecalitlán,16705,281.35288835677943
Tuxcacuesco,TUXCACUESCO,2025,15,106,Tuxcacuesco,5482,273.62276541408244
Atemajac de Brizuela,ATEMAJAC DE BRIZUELA,2025,21,010,Atemajac de Brizuela,7758,270.68832173240526
Chiquilistlán,CHIQUILISTLAN,2025,16,032,Chiquilistlán,5983,267.4243690456293
San Diego de Alejandría,SAN DIEGO DE ALEJANDRIA,2025,19,072,San Diego de Alejandría,7609,249.70429754238404
Zapotitlán de Vadillo,ZAPOTITLAN DE VADILLO,2025,18,122,Zapotitlán de Vadillo,7466,241.09295472810075
Pihuamo,PIHUAMO,2025,24,065,Pihuamo,11386,210.78517477604075
San Martín de Bolaños,SAN MARTIN DE BOLANOS,2025,6,076,San Martín de Bolaños,3095,193.86106623586429
Mexticacán,MEXTICACAN,2025,10,060,Mexticacán,5307,188.43037497644622
Quitupan,QUITUPAN,2025,9,069,Quitupan,7734,116.36927851047324
Jilotlán de los Dolores,JILOTLAN DE LOS DOLORES,2025,7,049,Jilotlán de los Dolores,9425,74.27055702917772
