Año,zona_geografica,Tipo de delito,Total_Anual
2023,Interior,Tráfico de menores,0
2023,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2024,AMG,Robo,31888
2024,AMG,Otros delitos del Fuero Común,12502
2024,AMG,Violencia familiar,10496
2024,AMG,Fraude,9734
2024,AMG,Amenazas,7394
2024,AMG,Lesiones,7040
2024,AMG,Abuso sexual,3985
2024,AMG,Narcomenudeo,1859
2024,AMG,Homicidio,1598
2024,AMG,Daño a la propiedad,1444
2024,AMG,Abuso de confianza,1237
2024,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,855
2024,AMG,Despojo,772
2024,AMG,Falsificación,727
2024,AMG,Otros delitos que atentan contra la libertad personal,723
2024,AMG,Incumplimiento de obligaciones de asistencia familiar,494
2024,AMG,Violación simple,388
2024,AMG,Delitos cometidos por servidores públicos,320
2024,AMG,Extorsión,320
2024,AMG,Otros delitos contra la familia,269
2024,AMG,Acoso sexual,200
2024,AMG,Falsedad,172
2024,AMG,Otros delitos que atentan contra la vida y la integridad corporal,130
2024,AMG,Allanamiento de morada,106
2024,AMG,Corrupción de menores,102
2024,AMG,Hostigamiento sexual,82
2024,AMG,Violación equiparada,38
2024,AMG,Contra el medio ambiente,30
2024,AMG,Feminicidio,25
2024,AMG,Secuestro,13
2024,AMG,Aborto,9
2024,AMG,Trata de personas,8
2024,AMG,Evasión de presos,5
2024,AMG,Otros delitos contra la sociedad,5
2024,AMG,Electorales,0
2024,AMG,Incesto,0
2024,AMG,Otros delitos contra el patrimonio,0
2024,AMG,Rapto,0
2024,AMG,Tráfico de menores,0
2024,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2024,Interior,Robo,6561
2024,Interior,Lesiones,5931
2024,Interior,Violencia familiar,4049
2024,Interior,Amenazas,2383
2024,Interior,Fraude,2121
2024,Interior,Otros delitos del Fuero Común,1583
2024,Interior,Abuso sexual,1307
2024,Interior,Homicidio,813
2024,Interior,Daño a la propiedad,807
2024,Interior,Despojo,508
2024,Interior,Falsificación,481
2024,Interior,Incumplimiento de obligaciones de asistencia familiar,397
2024,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,375
2024,Interior,Abuso de confianza,318
2024,Interior,Extorsión,221
2024,Interior,Otros delitos que atentan contra la libertad personal,182
2024,Interior,Narcomenudeo,124
2024,Interior,Violación simple,121
2024,Interior,Acoso sexual,96
2024,Interior,Allanamiento de morada,91
2024,Interior,Delitos cometidos por servidores públicos,81
2024,Interior,Otros delitos contra la familia,75
2024,Interior,Falsedad,56
2024,Interior,Otros delitos que atentan contra la vida y la integridad corporal,47
2024,Interior,Hostigamiento sexual,29
2024,Interior,Contra el medio ambiente,18
2024,Interior,Corrupción de menores,18
2024,Interior,Aborto,12
2024,Interior,Feminicidio,11
2024,Interior,Electorales,8
2024,Interior,Violación equiparada,6
2024,Interior,Secuestro,3
2024,Interior,Tráfico de menores,3
2024,Interior,Otros delitos contra la sociedad,2
2024,Interior,Trata de personas,2
2024,Interior,Evasión de presos,0
2024,Interior,Incesto,0
2024,Interior,Otros delitos contra el patrimonio,0
2024,Interior,Rapto,0
2024,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2025,AMG,Robo,26378
2025,AMG,Otros delitos del Fuero Común,11769
2025,AMG,Fraude,8420
2025,AMG,Violencia familiar,8236
2025,AMG,Lesiones,8099
2025,AMG,Amenazas,7148
2025,AMG,Abuso sexual,4006
2025,AMG,Narcomenudeo,2276
2025,AMG,Homicidio,1305
2025,AMG,Daño a la propiedad,1296
2025,AMG,Otros delitos que atentan contra la libertad y la seguridad sexual,927
2025,AMG,Abuso de confianza,816
2025,AMG,Falsificación,754
2025,AMG,Despojo,720
2025,AMG,Otros delitos que atentan contra la libertad personal,476
2025,AMG,Incumplimiento de obligaciones de asistencia familiar,469
2025,AMG,Violación simple,397
2025,AMG,Delitos cometidos por servidores públicos,342
2025,AMG,Otros delitos contra la familia,206
2025,AMG,Extorsión,192
2025,AMG,Acoso sexual,145
2025,AMG,Corrupción de menores,126
2025,AMG,Allanamiento de morada,120
2025,AMG,Otros delitos que atentan contra la vida y la integridad corporal,93
2025,AMG,Falsedad,81
2025,AMG,Hostigamiento sexual,63
2025,AMG,Contra el medio ambiente,34
2025,AMG,Feminicidio,23
2025,AMG,Violación equiparada,14
2025,AMG,Secuestro,12
2025,AMG,Trata de personas,5
2025,AMG,Aborto,4
2025,AMG,Otros delitos contra la sociedad,2
2025,AMG,Evasión de presos,1
2025,AMG,Electorales,0
2025,AMG,Incesto,0
2025,AMG,Otros delitos contra el patrimonio,0
2025,AMG,Rapto,0
2025,AMG,Tráfico de menores,0
2025,AMG,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
2025,Interior,Robo,5867
2025,Interior,Lesiones,5832
2025,Interior,Violencia familiar,4081
2025,Interior,Amenazas,2594
2025,Interior,Fraude,2226
2025,Interior,Otros delitos del Fuero Común,2025
2025,Interior,Abuso sexual,1409
2025,Interior,Daño a la propiedad,879
2025,Interior,Falsificación,840
2025,Interior,Homicidio,716
2025,Interior,Despojo,537
2025,Interior,Incumplimiento de obligaciones de asistencia familiar,387
2025,Interior,Otros delitos que atentan contra la libertad y la seguridad sexual,384
2025,Interior,Abuso de confianza,375
2025,Interior,Extorsión,241
2025,Interior,Otros delitos que atentan contra la libertad personal,198
2025,Interior,Narcomenudeo,167
2025,Interior,Acoso sexual,115
2025,Interior,Violación simple,115
2025,Interior,Allanamiento de morada,106
2025,Interior,Otros delitos contra la familia,97
2025,Interior,Delitos cometidos por servidores públicos,83
2025,Interior,Falsedad,76
2025,Interior,Corrupción de menores,42
2025,Interior,Otros delitos que atentan contra la vida y la integridad corporal,30
2025,Interior,Hostigamiento sexual,17
2025,Interior,Contra el medio ambiente,10
2025,Interior,Feminicidio,9
2025,Interior,Aborto,6
2025,Interior,Trata de personas,4
2025,Interior,Secuestro,3
2025,Interior,Violación equiparada,2
2025,Interior,Evasión de presos,1
2025,Interior,Electorales,0
2025,Interior,Incesto,0
2025,Interior,Otros delitos contra el patrimonio,0
2025,Interior,Otros delitos contra la sociedad,0
2025,Interior,Rapto,0
2025,Interior,Tráfico de menores,0
2025,Interior,Violencia de género en todas sus modalidades distinta a la violencia familiar,0
